query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,qmeans_attr_key_10,qmeans_attr_value_10,gemini_attr_key_10,gemini_attr_value_10
"high quality semi-automatic solvent extraction plant single screw type, 500 kg/hr, 415 v supply, 3 phase, hdpe body, rajco brand for industrial",5,9,automation grade,semi-automatic,automation,semi-automatic,brand,rajco,brand,rajco,capacity,"500 kg/hr,",capacity,500 kg/hr,material,hdpe,material,hdpe,usage,industrial,phase,3 phase,,,screw type,single screw,,,type,"""solvent extraction",,,usage,industrial,,,voltage,415 v,,,,
"high quality semi-automatic wire extruder co-rotating type, 100 kg, 230 v supply, 1 phase, pvc body, teknik brand for wire & cable",3,8,automation grade,semi-automatic,automation,"""semi-automatic",brand,teknik,brand,teknik,material,pvc,capacity,100 kg,,,material,pvc,,,phase,1 phase,,,type,co-rotating,,,usage,wire & cable,,,voltage,230 v,,,,,,,,
hydro extractor 220 v single phase,3,3,phase,single phase,power_supply,single phase,product,hydro extractor,product,"""hydro extractor",voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydro extractor 230 v 60 hz,3,3,frequency,60 hz,frequency,60 hz,product,hydro extractor,product,hydro extractor,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydro extractor for plastic processing,2,2,product,hydro extractor,type,hydro extractor,usage,plastic processing,usage,plastic processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hydro extractor machine specifications - brand: labh group, capacity: 5 tpd, voltage: 230 v, phase: 1 phase, body material: hdpe, automation: fully automatic",4,7,automation grade,automatic,automation,fully automatic,brand,labh,body material,hdpe,capacity,"5 tpd,",brand,labh group,model name/number,hydro extractor,capacity,5 tpd,,,phase,1 phase,,,type,"""hydro extractor",,,voltage,230 v,,,,,,,,,,,,
"hydro extractor machine specifications - brand: prism, capacity: 50 kg, voltage: 440 v, phase: 1 phase, body material: hdpe, automation: semi-automatic",2,7,automation grade,semi-automatic,automation,semi-automatic,model name/number,hydro extractor,body material,hdpe,,,brand,"""prism",,,capacity,50 kg,,,phase,1 phase,,,type,hydro extractor,,,voltage,440 v,,,,,,,,,,,,
industrial bitumen extractor unique 5 ton 240 v manual,6,5,automation grade,manual,capacity,5 ton,brand,unique,control,manual,capacity,5 ton,material,"""bitumen",machine type,bitumen extractor,product,extractor,usage,industrial,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,
industrial blown film extrusion machine prism 100 tpd 400 v semi-automatic,3,5,machine type,semi-automatic,automation,semi-automatic,usage,industrial,model,prism 100 tpd,voltage,400 v,type,"""blown film extrusion",,,usage,industrial,,,voltage,400 v,,,,,,,,,,,,,,,,,,,,
industrial cable extruder eureka 5 tpd 230 v manual,5,5,automation grade,manual,capacity,5 tpd,brand,eureka,control,manual,capacity,5 tpd,product,"""cable",usage,industrial,type,extruder,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,
industrial centrifuge extractor laxmi 25 kg 440 v manual,6,6,automation grade,manual,brand,laxmi,brand,laxmi,capacity,25 kg,capacity,25 kg,control,manual,product,centrifuge extractor,product,"""centrifuge extractor",usage,industrial,usage,industrial,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,
industrial centrifuge extractor swaraj 10 ton 240 v automatic,6,6,automation grade,automatic,brand,swaraj,brand,swaraj,capacity,10 ton,capacity,10 ton,feature,automatic,product,centrifuge extractor,product,"""centrifuge extractor",usage,industrial,usage,industrial,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,
industrial centrifuge extractor unique 500 liter 380 v fully automatic,6,5,automation grade,automatic,capacity,500 liter,brand,unique,feature,fully automatic,capacity,500 liter,product,"""centrifuge extractor",product,centrifuge,usage,industrial,usage,industrial,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,
industrial co-rotating twin screw extruder prism 200 kg/hr 240 v fully automatic,5,4,automation grade,automatic,capacity,200 kg/hr,capacity,200 kg/hr,feature,fully automatic,machine type,screw,type,"""co-rotating twin screw extruder",usage,industrial,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,
industrial copper extraction plant rajco 100 liter 400 v semi-automatic,5,4,automation grade,semi-automatic,material,"""copper",brand,rajco,model,rajco 100 liter 400 v semi-automatic,capacity,100 liter,type,extraction,usage,industrial,type,plant,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,
industrial epe foam extruder rajco 10 ton 230 v manual,5,6,brand,rajco,brand,rajco,capacity,10 ton,capacity,10 ton,type,extruder,control,manual,usage,industrial,material,"""epe foam",voltage,230 v,type,extruder,,,voltage,230 v,,,,,,,,,,,,,,,,
industrial foam extruder gold star 5 tpd 400 v automatic,6,6,automation grade,automatic,brand,gold star,brand,gold star,capacity,5 tpd,capacity,5 tpd,feature,automatic,type,foam extruder,material,"""foam",usage,industrial,type,extruder,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,
industrial foam extruder turbo 20 tpd 415 v fully automatic,5,6,automation grade,automatic,capacity,20 tpd,model name/number,turbo,feature,fully automatic,type,foam extruder,material,"""foam",usage,industrial,model,turbo,voltage,415 v,type,extruder,,,voltage,415 v,,,,,,,,,,,,,,,,
industrial gold refinery plant mahindra 100 ton 240 v automatic,5,6,automation grade,automatic,capacity,100 ton,brand,mahindra,feature,automatic,capacity,100 ton,type,refinery,usage,industrial,usage,"""gold",voltage,240 v,usage,industrial,,,voltage,240 v,,,,,,,,,,,,,,,,
"industrial grade automatic film extrusion machine with twin screw design, 1000 kg/hr capacity, operating voltage 400 v, three phase, ss 304 body material",2,7,capacity,1000 kg/hr,capacity,1000 kg/hr,usage,industrial,design,twin screw,,,machine type,extrusion,,,material,ss 304,,,power,three phase,,,usage,"""film",,,voltage,400 v,,,,,,,,,,,,
"industrial grade automatic metal refining plant with parallel design, 1000 liter capacity, operating voltage 230 v, single phase, cast iron body material",4,7,automation grade,automatic,capacity,1000 liter,capacity,1000,design,parallel design,grade standard,industrial grade,feature,automatic,material,cast iron,material,cast iron,,,phase,single phase,,,usage,"""metal refining",,,voltage,230 v,,,,,,,,,,,,
"industrial grade automatic silver refinery machine with parallel design, 750 kg/hr capacity, operating voltage 220 v, 3 phase, ss 316 body material",4,7,automation grade,automatic,capacity,750 kg/hr,capacity,750 kg/hr,feature,automatic,model name/number,silver refinery,material,"""silver",usage,industrial,material,ss 316,,,power_supply,3 phase,,,type,refinery,,,voltage,220 v,,,,,,,,,,,,
"industrial grade automatic silver refining plant with co-rotating design, 5 ton capacity, operating voltage 220 v, single phase, aluminium body material",3,6,automation grade,automatic,capacity,5 ton,capacity,5 ton,material,"""silver",grade standard,industrial grade,material,aluminium,,,phase,single phase,,,type,refining,,,voltage,220 v,,,,,,,,,,,,,,,,
"industrial grade fully automatic extruder machine with co-rotating design, 100 liter capacity, operating voltage 415 v, 1 phase, hdpe body material",4,8,automation grade,automatic,automation,fully automatic,capacity,100 liter,capacity,100 liter,material,hdpe,design,co-rotating,model name/number,extruder,material,hdpe,,,phase,1 phase,,,quality,"""industrial grade",,,type,extruder,,,voltage,415 v,,,,,,,,
"industrial grade fully automatic hydro extractor with parallel design, 5 kg capacity, operating voltage 220 v, 1 phase, ms body material",3,7,capacity,5 kg,capacity,5 kg,usage,industrial,design,parallel design,voltage,220,feature,fully automatic,,,material,ms,,,phase,1 phase,,,product,"""hydro extractor",,,voltage,220 v,,,,,,,,,,,,
"industrial grade fully automatic metal recovery plant with single screw design, 10 kg/hr capacity, operating voltage 380 v, 3 phase, pvc body material",4,7,automation grade,automatic,capacity,10 kg/hr,capacity,10 kg/hr,design,single screw,material,pvc,feature,fully automatic,usage,industrial,material,pvc,,,phase,3 phase,,,product,"""metal recovery",,,voltage,380 v,,,,,,,,,,,,
"industrial grade fully automatic metal refining plant with twin screw design, 10 kg capacity, operating voltage 480 v, single phase, mild steel body material",3,7,automation grade,automatic,capacity,10 kg,capacity,10 kg,design,twin screw,material,mild steel,feature,fully automatic,,,material,mild steel,,,phase,single phase,,,usage,"""metal refining",,,voltage,480 v,,,,,,,,,,,,
"industrial grade fully automatic monolayer extruder with single screw design, 50 tpd capacity, operating voltage 480 v, 1 phase, ss body material",3,7,automation grade,automatic,capacity,50 tpd,capacity,50 tpd,design,single screw,grade standard,industrial,material,ss,,,phase,1 phase,,,type,"""monolayer",,,type,extruder,,,voltage,480 v,,,,,,,,,,,,
"industrial grade fully automatic oleoresin extraction plant with co-rotating design, 750 kg/hr capacity, operating voltage 380 v, 1 phase, ss 304 body material",2,7,capacity,750 kg/hr,capacity,750 kg/hr,usage,industrial,design,co-rotating,,,feature,fully automatic,,,material,ss 304,,,phase,1 phase,,,product,"""oleoresin extraction",,,voltage,380 v,,,,,,,,,,,,
"industrial grade fully automatic solvent extraction plant with co-rotating design, 100 tpd capacity, operating voltage 440 v, 3 phase, aluminium body material",3,7,automation grade,automatic,capacity,100 tpd,grade standard,industrial grade,design,co-rotating,material,aluminium,feature,fully automatic,,,material,aluminium,,,power,3 phase,,,product,"""solvent extraction",,,voltage,440 v,,,,,,,,,,,,
"industrial grade manual basket extruder with co-rotating design, 200 liter capacity, operating voltage 400 v, three phase, stainless steel body material",5,7,automation grade,manual,capacity,200 liter,capacity,200 liter,design,co-rotating,material,stainless steel,material,stainless steel,model name/number,basket extruder,power_supply,three phase,usage,industrial,type,"""manual",,,type,basket,,,voltage,400 v,,,,,,,,,,,,
"industrial grade manual curcumin extraction plant with twin screw design, 500 kg/hr capacity, operating voltage 440 v, three phase, titanium body material",3,8,automation grade,manual,capacity,500 kg/hr,capacity,500 kg/hr,design,twin screw,grade standard,industrial grade,material,titanium,,,operation,manual,,,power,three phase,,,product,"""curcumin",,,type,extraction,,,voltage,440 v,,,,,,,,
"industrial grade manual multi layer extruder with single screw design, 300 kg/hr capacity, operating voltage 230 v, 3 phase, ss 316 body material",4,8,automation grade,manual,capacity,300 kg/hr,capacity,300 kg/hr,design,single screw,model name/number,extruder,material,ss 316,usage,industrial,power,3 phase,,,type,"""manual",,,type,multi layer,,,type,extruder,,,voltage,230 v,,,,,,,,
"industrial grade manual pet extruder with conical design, 500 ton capacity, operating voltage 400 v, 1 phase, stainless steel body material",5,10,automation grade,manual,capacity,500 ton,capacity,500 ton,design,conical,material,stainless steel,material,pet,model name/number,extruder,material,stainless steel,usage,industrial,operation,manual,,,part,body,,,phase,1 phase,,,quality,"""industrial grade",,,type,extruder,,,voltage,400 v
"industrial grade manual xlpe cable extruder with co-rotating design, 20 tpd capacity, operating voltage 415 v, single phase, aluminium body material",3,7,automation grade,manual,capacity,20 tpd,capacity,20 tpd,design,co-rotating,material,xlpe,material,"""xlpe cable",,,material,aluminium,,,phase,single phase,,,type,extruder,,,voltage,415 v,,,,,,,,,,,,
"industrial grade semi-automatic aba blown film machine with twin screw design, 10 tpd capacity, operating voltage 480 v, 1 phase, ss body material",2,8,capacity,10 tpd,automation,"""semi-automatic",machine type,semi-automatic,capacity,10 tpd,,,design,twin screw,,,material,ss,,,phase,1 phase,,,type,aba,,,usage,blown film,,,voltage,480 v,,,,,,,,
"industrial grade semi-automatic blown film extrusion machine with single screw design, 5 kg capacity, operating voltage 220 v, 3 phase, aluminium body material",3,7,capacity,5 kg,automation,semi-automatic,machine type,semi-automatic,capacity,5 kg,material,aluminium,design,single screw,,,material,aluminium,,,power,3 phase,,,type,"""blown film extrusion",,,voltage,220 v,,,,,,,,,,,,
"industrial grade semi-automatic foam extruder with conical design, 100 liter capacity, operating voltage 400 v, 3 phase, ms body material",2,7,automation grade,semi-automatic,automation,semi-automatic,capacity,100 liter,capacity,100 liter,,,design,conical,,,material,ms,,,power_phase,3 phase,,,product,"""foam",,,voltage,400 v,,,,,,,,,,,,
"industrial grade semi-automatic ldpe blown film machine with conical design, 1000 kg/hr capacity, operating voltage 440 v, 3 phase, ss 304 body material",4,8,capacity,1000 kg/hr,automation,semi-automatic,machine type,semi-automatic,capacity,1000 kg/hr,material,ldpe,design,conical,usage,industrial,material,"""ldpe",,,material,ss 304,,,power_supply,3 phase,,,type,blown film,,,voltage,440 v,,,,,,,,
"industrial grade semi-automatic liquid extraction system with single screw design, 250 kg/hr capacity, operating voltage 220 v, 1 phase, cast iron body material",5,7,automation grade,semi-automatic,automation,semi-automatic,capacity,250 kg/hr,body material,cast iron,material,cast iron,capacity,250 kg/hr,product,liquid extraction,design,single screw,usage,industrial,phase,1 phase,,,product,"""liquid extraction system",,,voltage,220 v,,,,,,,,,,,,
"industrial grade semi-automatic oil extraction plant with single screw design, 250 kg/hr capacity, operating voltage 400 v, three phase, stainless steel body material",4,7,capacity,250 kg/hr,automation,semi-automatic,material,stainless steel,capacity,250 kg/hr,operation type,semi-automatic,design,single screw,usage,industrial,material,stainless steel,,,power_supply,three phase,,,product,"""oil extraction",,,voltage,400 v,,,,,,,,,,,,
"industrial grade semi-automatic tube extrusion machine with parallel design, 100 kg capacity, operating voltage 240 v, single phase, aluminium body material",4,8,automation grade,semi-automatic,automation,"""semi-automatic",capacity,100 kg,capacity,100 kg,material,aluminium,design,parallel,usage,industrial,machine type,extrusion,,,material,aluminium,,,power,single phase,,,product,tube,,,voltage,240 v,,,,,,,,
industrial hdpe extruder kabra 50 ton 240 v semi-automatic,7,5,automation grade,semi-automatic,automation,semi-automatic,brand,kabra,capacity,50 ton,capacity,50 ton,material,"""hdpe",material,hdpe,type,extruder,type,extruder,voltage,240 v,usage,industrial,,,voltage,240 v,,,,,,,,,,,,,,
industrial herbal extraction plant swaraj 200 liter 380 v semi-automatic,6,5,automation grade,semi-automatic,automation,semi-automatic,brand,swaraj,capacity,200 liter,capacity,200 liter,type,plant,product,herbal extraction,usage,"""herbal extraction",usage,industrial,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,
industrial jockey extruder mahindra 5 ton 440 v semi-automatic,6,6,automation grade,semi-automatic,brand,mahindra,brand,jockey,capacity,5 ton,capacity,5 ton,feature,semi-automatic,type,extruder,type,"""jockey extruder",usage,industrial,usage,industrial,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,
industrial jockey extruder mahindra 500 kg/hr 240 v manual,6,6,automation grade,manual,brand,mahindra,brand,jockey,capacity,500 kg/hr,capacity,500 kg/hr,control,manual,type,extruder,type,"""jockey extruder",usage,industrial,usage,industrial,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,
industrial ldpe blown film machine turbo 20 kg 480 v automatic,5,6,capacity,20 kg,capacity,20 kg,machine type,automatic,feature,turbo,material,ldpe,feature,automatic,usage,industrial,material,"""ldpe",voltage,480 v,type,blown film,,,voltage,480 v,,,,,,,,,,,,,,,,
industrial mother baby extruder prism 10 kg/hr 400 v semi-automatic,5,7,automation grade,semi-automatic,automation,semi-automatic,capacity,10 kg/hr,capacity,10 kg/hr,type,extruder,type,extruder,usage,industrial,type,prism,voltage,400 v,usage,"""industrial",,,usage,mother baby,,,voltage,400 v,,,,,,,,,,,,
industrial oil extraction plant unique 10 ton 440 v semi-automatic,6,5,brand,unique,automation,semi-automatic,capacity,10 ton,capacity,10 ton,operation type,semi-automatic,usage,"""oil extraction",product,oil extraction,usage,industrial,usage,industrial,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,
industrial oleoresin extraction plant prism 250 kg/hr 230 v automatic,5,0,automation grade,automatic,,,brand,prism,,,capacity,250 kg/hr,,,usage,industrial,,,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,
industrial oleoresin extraction plant rajco 500 kg 415 v semi-automatic,5,5,automation grade,semi-automatic,automation,semi-automatic,brand,rajco,capacity,500 kg,capacity,500 kg,type,plant,usage,industrial,usage,"""oleoresin extraction",voltage,415 v,voltage,415 v,,,,,,,,,,,,,,,,,,,,
industrial oleoresin extraction plant swaraj 50 tpd 380 v automatic,5,6,automation grade,automatic,capacity,50 tpd,brand,swaraj,feature,automatic,capacity,50 tpd,product,"""oleoresin",usage,industrial,type,extraction,voltage,380 v,usage,industrial,,,voltage,380 v,,,,,,,,,,,,,,,,
industrial plastic extruder unique 10 tpd 380 v manual,5,5,automation grade,manual,capacity,10 tpd,brand,unique,control,manual,capacity,10 tpd,material,"""plastic",usage,industrial,type,extruder,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,
industrial silver refinery machine laxmi 25 kg 380 v manual,6,5,automation grade,manual,capacity,25 kg,brand,laxmi,control,manual,capacity,25 kg,material,"""silver",product,silver refinery,type,refinery,usage,industrial,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,
industrial silver refinery machine laxmi 5 ton 400 v automatic,6,5,automation grade,automatic,capacity,5 ton,brand,laxmi,feature,automatic,capacity,5 ton,material,"""silver",product,silver refinery,type,refinery,usage,industrial,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,
industrial single die extruder teknik 25 kg/hr 440 v automatic,7,6,automation grade,automatic,capacity,25 kg/hr,brand,teknik,feature,automatic,capacity,25 kg/hr,type,single die,number of dies,single die,type,extruder,type,extruder,usage,"""industrial",usage,industrial,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,
