query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9
"herbal extraction plant - twin screw design, 200 kg output, 230 v, three phase, cast iron construction, gold star brand, semi-automatic operation",3,7,automation grade,semi-automatic,automation grade,semi-automatic,brand,gold star,body material,cast iron,material,cast iron,brand,gold star,,,output,200 kg,,,phase,three phase,,,screw design,"""twin screw",,,voltage,230 v,,,,,,,,
herbal extraction plant 240 v single phase,2,3,phase,single phase,phase,single phase,voltage,240 v,usage/application,"""herbal extraction",,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,
herbal extraction plant 415 v,1,2,voltage,415 v,usage/application,"""herbal extraction",,,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbal extraction plant machine 25 kg/hr output 400 v three phase hdpe,4,5,capacity,25 kg/hr,material to be extruded,hdpe,material,hdpe,phase,three phase,phase,three phase,production capacity,25 kg/hr,voltage,400 v,usage/application,"""herbal extraction",,,voltage,400 v,,,,,,,,,,,,,,,,
"high quality automatic basket extruder conical type, 5 kg/hr, 440 v supply, three phase, titanium body, mahindra brand for agricultural",5,5,automation grade,automatic,automation grade,"""automatic",brand,mahindra,body material,pp,capacity,"5 kg/hr,",phase,three phase,material,titanium,production capacity,5 kg/hr,usage,agricultural,voltage,440 v,,,,,,,,,,,,,,,,
"high quality automatic centrifuge extractor co-rotating type, 300 kg/hr, 440 v supply, single phase, mild steel body, labh group brand for food processing",4,6,automation grade,automatic,automation grade,"""automatic",brand,labh group,body material,mild steel,capacity,"300 kg/hr,",phase,single phase,material,mild steel,production capacity,300 kg/hr,,,usage/application,food processing,,,voltage,440 v,,,,,,,,,,,,
"high quality automatic foam extruder parallel type, 750 kg/hr, 415 v supply, 3 phase, ms body, popular brand for food processing",3,6,automation grade,automatic,automation grade,"""automatic",brand,popular,body material,ms,capacity,"750 kg/hr,",phase,three phase,,,production capacity,750 kg/hr,,,usage/application,food processing,,,voltage,415 v,,,,,,,,,,,,
"high quality automatic gold refining machine parallel type, 50 kg/hr, 440 v supply, single phase, ss body, gold star brand for chemical industries",2,8,automation grade,automatic,automation grade,"""automatic",brand,gold star,body material,ss,,,brand,gold star,,,industry type,chemical industry,,,phase,single phase,,,production capacity,50 kg/hr,,,usage/application,gold refining plant,,,voltage,440 v,,,,
"high quality automatic hdpe extruder twin screw type, 20 tpd, 380 v supply, 1 phase, mild steel body, laxmi brand for food processing",3,8,automation grade,automatic,application,food process industry,brand,laxmi,automation grade,"""automatic",material,hdpe,body material,mild steel,,,brand/make,laxmi,,,phase,1 phase,,,plastic processed,hdpe,,,screw design,twin screw,,,voltage,380 v,,,,
"high quality automatic metal refining plant twin screw type, 200 kg, 220 v supply, three phase, stainless steel body, turbo brand for wire & cable",3,7,automation grade,automatic,automation grade,"""automatic",brand,turbo,body material,stainless steel,material,stainless steel,phase,three phase,,,screw design,twin screw,,,usage/application,wire & cable,,,voltage,220 v,,,weight,200 kg,,,,,,,,
"high quality automatic solvent extraction plant twin screw type, 1000 liter, 220 v supply, 1 phase, stainless steel body, labh group brand for packaging",3,6,automation grade,automatic,automation grade,"""automatic",brand,labh group,body material,stainless steel,material,stainless steel,brand,labh group,,,phase,1 phase,,,screw design,twin screw,,,voltage,220 v,,,,,,,,,,,,
"high quality automatic wire extruder conical type, 300 kg/hr, 230 v supply, 3 phase, stainless steel body, prism brand for wire & cable",5,6,automation grade,automatic,automation grade,"""automatic",brand,prism,body material,stainless steel,capacity,"300 kg/hr,",phase,3 phase,material,stainless steel,production capacity,300 kg/hr,model name/number,extruder,usage/application,wire & cable,,,voltage supply,230 v,,,,,,,,,,,,
"high quality fully automatic basket extruder parallel type, 1000 kg/hr, 240 v supply, 3 phase, aluminium body, eureka brand for chemical industries",5,6,automation grade,automatic,automation grade,"""fully automatic",brand,eureka,material,aluminium,capacity,"1000 kg/hr,",phase,three phase,material,aluminium,production capacity,1000 kg/hr,model name/number,basket extruder,usage/application,industrial,,,voltage,240 v,,,,,,,,,,,,
"high quality fully automatic gold refinery plant conical type, 30 kg, 220 v supply, three phase, pp body, kabra brand for chemical industries",3,5,automation grade,automatic,automation grade,"""fully automatic",brand,kabra,body material,pp,model name/number,gold refinery,brand,kabra,,,phase,three phase,,,voltage,220 v,,,,,,,,,,,,,,,,
"high quality fully automatic pp extruder parallel type, 200 kg, 230 v supply, single phase, ss 304 body, labh group brand for food processing",3,8,automation grade,automatic,automation grade,"""fully automatic",brand,labh group,grade standard,food grade,usage,food processing,material grade,ss 304,,,material to be extruded,pp,,,phase,single phase,,,usage/application,food process industry,,,voltage supply,230 v,,,weight,200 kg,,,,
"high quality fully automatic rice bran extraction plant conical type, 20 kg, 380 v supply, 1 phase, ss 304 body, kabra brand for agricultural",3,6,automation grade,automatic,automation grade,"""fully automatic",brand,kabra,brand,kabra,usage,agricultural,capacity(kg),20 kg,,,material grade,ss 304,,,phase,1 phase,,,voltage (v),380 volt,,,,,,,,,,,,
"high quality fully automatic single die extruder co-rotating type, 500 liter, 240 v supply, 3 phase, pvc body, mahindra brand for pharmaceutical",3,7,automation grade,automatic,automation grade,"""fully automatic",brand,mahindra,body material,pvc,material,pvc,die,single die,,,phase,three phase,,,usage/application,food and beverages and cosmetics industries,,,voltage,240 v,,,voltage supply,240 v,,,,,,,,
"high quality semi-automatic aluminium extrusion plant conical type, 250 kg/hr, 240 v supply, single phase, hdpe body, swaraj brand for chemical industries",4,7,automation grade,semi-automatic,automation grade,"""semi-automatic",brand,swaraj,body material,hdpe,capacity,"250 kg/hr,",brand,swaraj make,material,aluminium,phase,single phase,,,production capacity,250 kg/hr,,,usage/application,aluminium extrusion,,,voltage,240 v,,,,,,,,
"high quality semi-automatic solvent extraction plant single screw type, 500 kg/hr, 415 v supply, 3 phase, hdpe body, rajco brand for industrial",5,7,automation grade,semi-automatic,automation grade,"""semi-automatic",brand,rajco,body material,hdpe,capacity,"500 kg/hr,",brand,rajco,material,hdpe,phase,three phase,usage,industrial,production capacity,500 kg/hr,,,usage/application,industrial,,,voltage,415 v,,,,,,,,
"high quality semi-automatic wire extruder co-rotating type, 100 kg, 230 v supply, 1 phase, pvc body, teknik brand for wire & cable",3,6,automation grade,semi-automatic,automation grade,"""semi-automatic",brand,teknik,body material,pvc,material,pvc,capacity(kg),100 kg,,,phase,1 phase,,,usage/application,wire & cable,,,voltage supply,230 v,,,,,,,,,,,,
hydro extractor 220 v single phase,3,2,phase,single phase,phase,single phase,product,hydro extractor,voltage,"""220 v",voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,
hydro extractor 230 v 60 hz,3,2,frequency,60 hz,frequency,60 hz,product,hydro extractor,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,
hydro extractor for plastic processing,2,0,product,hydro extractor,,,usage,plastic processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hydro extractor machine specifications - brand: labh group, capacity: 5 tpd, voltage: 230 v, phase: 1 phase, body material: hdpe, automation: fully automatic",4,4,automation grade,automatic,automation grade,fully automatic,brand,labh,body material,hdpe,capacity,"5 tpd,",phase,1 phase,model name/number,hydro extractor,voltage,"""230 v",,,,,,,,,,,,,,,,,,,,
"hydro extractor machine specifications - brand: prism, capacity: 50 kg, voltage: 440 v, phase: 1 phase, body material: hdpe, automation: semi-automatic",2,5,automation grade,semi-automatic,automation grade,semi-automatic,model name/number,hydro extractor,body material,hdpe,,,capacity,"""50 kg",,,phase,1 phase,,,voltage,440 v,,,,,,,,,,,,,,,,
industrial bitumen extractor unique 5 ton 240 v manual,6,5,automation grade,manual,automation grade,manual,brand,unique,type of testing machines,bitumen extractor,capacity,5 ton,usage/application,industrial,machine type,bitumen extractor,voltage,"""240 v",usage,industrial,weight,5 ton,voltage,240 v,,,,,,,,,,,,,,
industrial blown film extrusion machine prism 100 tpd 400 v semi-automatic,3,4,machine type,semi-automatic,automation grade,semi-automatic,usage,industrial,capacity,100 tpd,voltage,400 v,usage/application,industrial,,,voltage,"""400 v",,,,,,,,,,,,,,,,,,,,
industrial cable extruder eureka 5 tpd 230 v manual,5,4,automation grade,manual,automation grade,manual,brand,eureka,capacity,5 tpd,capacity,5 tpd,usage/application,"""industrial",usage,industrial,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,
industrial centrifuge extractor laxmi 25 kg 440 v manual,6,3,automation grade,manual,automation grade,manual,brand,laxmi,capacity,"""25 kg",capacity,25 kg,voltage,440 v,product,centrifuge extractor,,,usage,industrial,,,voltage,440 v,,,,,,,,,,,,,,
industrial centrifuge extractor swaraj 10 ton 240 v automatic,6,3,automation grade,automatic,automation grade,automatic,brand,swaraj,usage/application,industrial,capacity,10 ton,voltage,"""240 v",product,centrifuge extractor,,,usage,industrial,,,voltage,240 v,,,,,,,,,,,,,,
industrial centrifuge extractor unique 500 liter 380 v fully automatic,6,2,automation grade,automatic,automation grade,fully automatic,brand,unique,voltage,"""380 v",capacity,500 liter,,,product,centrifuge,,,usage,industrial,,,voltage,380 v,,,,,,,,,,,,,,
industrial co-rotating twin screw extruder prism 200 kg/hr 240 v fully automatic,5,5,automation grade,automatic,automation grade,fully automatic,capacity,200 kg/hr,production capacity,200 kg/hr,machine type,screw,screw design,co-rotating twin screw,usage,industrial,usage/application,"""industrial",voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,
industrial copper extraction plant rajco 100 liter 400 v semi-automatic,5,6,automation grade,semi-automatic,automation grade,semi-automatic,brand,rajco,brand,rajco,capacity,100 liter,capacity(litre),100 litre,usage,industrial,usage/application,"""industrial",voltage,400 v,voltage,400 v,,,wire material,copper,,,,,,,,,,,,
industrial epe foam extruder rajco 10 ton 230 v manual,5,3,brand,rajco,automation grade,manual,capacity,10 ton,usage/application,"""industrial",type,extruder,voltage,230 v,usage,industrial,,,voltage,230 v,,,,,,,,,,,,,,,,,,
industrial foam extruder gold star 5 tpd 400 v automatic,6,4,automation grade,automatic,automation grade,automatic,brand,gold star,brand,gold star,capacity,5 tpd,usage/application,industrial,type,foam extruder,voltage,"""400 v",usage,industrial,,,voltage,400 v,,,,,,,,,,,,,,
industrial foam extruder turbo 20 tpd 415 v fully automatic,5,4,automation grade,automatic,automation grade,fully automatic,model name/number,turbo,capacity,20,type,foam extruder,usage/application,industrial,usage,industrial,voltage,415 v,voltage,415 v,,,,,,,,,,,,,,,,,,
industrial gold refinery plant mahindra 100 ton 240 v automatic,5,3,automation grade,automatic,automation grade,automatic,brand,mahindra,usage/application,industrial,capacity,100 ton,voltage,"""240 v",usage,industrial,,,voltage,240 v,,,,,,,,,,,,,,,,,,
"industrial grade automatic film extrusion machine with twin screw design, 1000 kg/hr capacity, operating voltage 400 v, three phase, ss 304 body material",2,7,capacity,1000 kg/hr,automation grade,"""automatic",usage,industrial,material grade,ss 304,,,phase,three phase,,,production capacity,1000 kg/hr,,,screw design,twin screw,,,usage/application,industrial,,,voltage,400 v,,,,,,,,
"industrial grade automatic metal refining plant with parallel design, 1000 liter capacity, operating voltage 230 v, single phase, cast iron body material",4,5,automation grade,automatic,automation grade,"""automatic",capacity,1000,body material,cast iron,grade standard,industrial grade,phase,single phase,material,cast iron,usage/application,industrial,,,voltage,230 v,,,,,,,,,,,,,,,,
"industrial grade automatic silver refinery machine with parallel design, 750 kg/hr capacity, operating voltage 220 v, 3 phase, ss 316 body material",4,7,automation grade,automatic,automation grade,automatic,capacity,750 kg/hr,industry type,"""industrial",model name/number,silver refinery,machine body material,ss 316,usage,industrial,metal,silver,,,phase,three phase,,,production capacity,750 kg/hr,,,voltage,220 v,,,,,,,,
"industrial grade automatic silver refining plant with co-rotating design, 5 ton capacity, operating voltage 220 v, single phase, aluminium body material",3,8,automation grade,automatic,automation grade,"""automatic",capacity,5 ton,industry type,industrial,grade standard,industrial grade,material,aluminium,,,metal,silver,,,phase,single phase,,,screw design,co rotating,,,voltage,220 v,,,weight,5 ton,,,,
"industrial grade fully automatic extruder machine with co-rotating design, 100 liter capacity, operating voltage 415 v, 1 phase, hdpe body material",4,6,automation grade,automatic,automation grade,fully automatic,capacity,100 liter,body material,hdpe,material,hdpe,capacity(litre),100 litre,model name/number,extruder,industry type,"""industrial",,,phase,1 phase,,,voltage,415 v,,,,,,,,,,,,
"industrial grade fully automatic hydro extractor with parallel design, 5 kg capacity, operating voltage 220 v, 1 phase, ms body material",3,6,capacity,5 kg,automation grade,"""fully automatic",usage,industrial,body material,ms,voltage,220,capacity(kg),5 kg,,,phase,1 phase,,,screw design,parallel,,,voltage,220 v,,,,,,,,,,,,
"industrial grade fully automatic metal recovery plant with single screw design, 10 kg/hr capacity, operating voltage 380 v, 3 phase, pvc body material",4,6,automation grade,automatic,automation grade,fully automatic,capacity,10 kg/hr,body material,pvc,material,pvc,phase,three phase,usage,industrial,production capacity,10 kg/hr,,,usage/application,"""industrial",,,voltage,380 v,,,,,,,,,,,,
"industrial grade fully automatic metal refining plant with twin screw design, 10 kg capacity, operating voltage 480 v, single phase, mild steel body material",3,7,automation grade,automatic,automation grade,fully automatic,capacity,10 kg,body material,mild steel,material,mild steel,capacity(kg),10 kg,,,industry type,"""industrial",,,metal,metal,,,phase,single phase,,,voltage,440v,,,,,,,,
"industrial grade fully automatic monolayer extruder with single screw design, 50 tpd capacity, operating voltage 480 v, 1 phase, ss body material",3,8,automation grade,automatic,automation grade,fully automatic,capacity,50 tpd,body material,ss,grade standard,industrial,capacity,50 tpd,,,industry type,"""industrial",,,layer,monolayer,,,phase,1 phase,,,screw design,single screw,,,voltage (v),480 v,,,,
"industrial grade fully automatic oleoresin extraction plant with co-rotating design, 750 kg/hr capacity, operating voltage 380 v, 1 phase, ss 304 body material",2,7,capacity,750 kg/hr,automation grade,fully automatic,usage,industrial,material grade,ss 304,,,phase,1 phase,,,production capacity,750 kg/hr,,,screw design,co rotating,,,usage/application,"""industrial",,,voltage,380 v,,,,,,,,
"industrial grade fully automatic solvent extraction plant with co-rotating design, 100 tpd capacity, operating voltage 440 v, 3 phase, aluminium body material",3,6,automation grade,automatic,automation grade,fully automatic,grade standard,industrial grade,capacity,100 tpd,material,aluminium,material,aluminium,,,phase,three phase,,,usage/application,"""industrial",,,voltage,440 v,,,,,,,,,,,,
"industrial grade manual basket extruder with co-rotating design, 200 liter capacity, operating voltage 400 v, three phase, stainless steel body material",5,6,automation grade,manual,automation grade,manual,capacity,200 liter,body material,stainless steel,material,stainless steel,capacity(litre),200 liter,model name/number,basket extruder,industry type,"""industrial",usage,industrial,phase,three phase,,,voltage,400 v,,,,,,,,,,,,
"industrial grade manual curcumin extraction plant with twin screw design, 500 kg/hr capacity, operating voltage 440 v, three phase, titanium body material",3,7,automation grade,manual,automation grade,manual,capacity,500 kg/hr,body material,pp,grade standard,industrial grade,phase,three phase,,,production capacity,500 kg/hr,,,screw design,twin screw,,,usage/application,"""industrial",,,voltage,440 v,,,,,,,,
"industrial grade manual multi layer extruder with single screw design, 300 kg/hr capacity, operating voltage 230 v, 3 phase, ss 316 body material",4,6,automation grade,manual,automation grade,manual,capacity,300 kg/hr,body material,ss 316,model name/number,extruder,industry type,"""industrial",usage,industrial,phase,three phase,,,production capacity,300 kg/hr,,,voltage,230 v,,,,,,,,,,,,
"industrial grade manual pet extruder with conical design, 500 ton capacity, operating voltage 400 v, 1 phase, stainless steel body material",5,7,automation grade,manual,automation grade,manual,capacity,500 ton,body material,stainless steel,material,stainless steel,design,conical,model name/number,extruder,industry type,"""industrial",usage,industrial,material to be extruded,pet,,,phase,1 phase,,,voltage,400 v,,,,,,,,
"industrial grade manual xlpe cable extruder with co-rotating design, 20 tpd capacity, operating voltage 415 v, single phase, aluminium body material",3,8,automation grade,manual,automation grade,manual,capacity,20 tpd,body material,aluminium,material,xlpe,capacity,20 tpd,,,industry type,"""industrial",,,material to be extruded,xlpe,,,phase,single phase,,,screw design,co rotating,,,voltage,415 v,,,,
"industrial grade semi-automatic aba blown film machine with twin screw design, 10 tpd capacity, operating voltage 480 v, 1 phase, ss body material",2,7,capacity,10 tpd,automation grade,"""semi-automatic",machine type,semi-automatic,body material,ss,,,capacity,10 tpd,,,model name/number,aba,,,phase,1 phase,,,screw design,twin screw,,,voltage,480 v,,,,,,,,
"industrial grade semi-automatic blown film extrusion machine with single screw design, 5 kg capacity, operating voltage 220 v, 3 phase, aluminium body material",3,6,capacity,5 kg,automation grade,semi automatic,machine type,semi-automatic,body material,aluminium,material,aluminium,capacity(kg),5 kg,,,phase,three phase,,,usage/application,"""industrial",,,voltage,220 v,,,,,,,,,,,,
