Query,Key Match Count,Value Match Count,GT Unique Keys,Gemma Unique Keys,GT Unique Values,Gemma Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemma: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemma Only Keys
EG224 Grade DC Motor Carbon Brush,5,1,9,12,4,3,55.6%,25.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type |||| EG224 - model_number | part_number | model |||| automotive - application | use,EG224 Grade - model_number | model_name | model | model_no |||| DC Motor - type | motor_type | product_type | device_type |||| Carbon Brush - usage_application | application | usage | suitable_for,application | model | model number | motor type | product type,dc motor,current type | part number | supply type | use,device type | model name | model no | suitable for | type | usage | usage application
ELLDO cooler motor,2,1,4,8,2,2,50.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,ELLDO - brand | company | manufacturer | make |||| Cooler Motor - type | motor_type | product_type | device_type,motor type | product type,cooler motor,application | use,brand | company | device type | make | manufacturer | type
Eaton Orbital Motor,3,1,5,4,2,1,60.0%,50.0%,eaton - brand | manufacturer | company |||| motor - motor_type | product_type,Eaton - brand | company | manufacturer | make,brand | company | manufacturer,eaton,motor type | product type,make
Ecoflam Burner Servo Motor,2,1,2,8,1,2,100.0%,100.0%,servo motor - motor_type | product_type,Ecoflam - brand | company | manufacturer | make |||| Servo Motor - type | motor_type | product_type | device_type,motor type | product type,servo motor,,brand | company | device type | make | manufacturer | type
Electric Actuator,0,0,4,4,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Electric - power_source | power_supply | power_type | input_power,,,application | category | product category | use,input power | power source | power supply | power type
Electric Motor,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Electric - power_source | power_supply | power_type | automation_grade,,,motor type | product type,automation grade | power source | power supply | power type
Electric Motor Housing,0,0,2,6,1,2,0.0%,0.0%,motor - motor_type | product_type,Electric - power_source | power_supply | power_type |||| Housing - material | body_material | material_type,,,motor type | product type,body material | material | material type | power source | power supply | power type
Electric Motor Starters,0,0,4,10,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Electric - power_source | power_supply | power_type | input_power |||| Electric Motor Starters - starter_type | starting_method | starter |||| Electric Motor Starters - insulation_class | insulation_type | winding_insulation,,,application | motor type | product type | use,input power | insulation class | insulation type | power source | power supply | power type | starter | starter type | starting method | winding insulation
Electric Motor with Gear,0,0,2,6,1,2,0.0%,0.0%,motor - motor_type | product_type,Electric - power_source | power_supply | power_type |||| Electric Motor with Gear - automation_grade | operation_mode | working_mode,,,motor type | product type,automation grade | operation mode | power source | power supply | power type | working mode
Electric Motors,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Electric - power_source | power_supply | power_type | input_power,,,motor type | product type,input power | power source | power supply | power type
Electric Motors and Components,0,0,2,7,1,2,0.0%,0.0%,motor - motor_type | product_type,Electric - power_source | power_supply | power_type |||| Motors and Components - usage_application | application | usage | suitable_for,,,motor type | product type,application | power source | power supply | power type | suitable for | usage | usage application
Electric Rotary Actuators,0,0,4,6,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Electric - power_source | power_supply | power_type |||| Rotary Actuators - automation_grade | operation_mode | working_mode,,,application | category | product category | use,automation grade | operation mode | power source | power supply | power type | working mode
Electric Sliding Gate Motor,0,0,2,7,1,2,0.0%,0.0%,motor - motor_type | product_type,Electric - power_source | power_supply | power_type |||| Sliding Gate - usage_application | application | usage | suitable_for,,,motor type | product type,application | power source | power supply | power type | suitable for | usage | usage application
Electric Vibratory Motor,0,0,2,7,1,2,0.0%,0.0%,vibrator motor - motor_type | product_type,Electric - power_source | power_supply | power_type |||| Vibratory Motor - usage_application | application | usage | suitable_for,,,motor type | product type,application | power source | power supply | power type | suitable for | usage | usage application
Electrical carbon Brushes,1,0,4,9,2,3,25.0%,0.0%,automotive - application | use |||| brush - product_category | category,Electrical - type | product_type | device_type |||| Carbon - material | body_material | material_type |||| Brushes - usage_application | application | usage,application,,category | product category | use,body material | device type | material | material type | product type | type | usage | usage application
Electro Pneumatic Valve Positioner,1,0,4,7,2,2,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,Electro Pneumatic - power_source | power_supply | power_type |||| Valve Positioner - usage_application | application | usage | suitable_for,application,,category | product category | use,power source | power supply | power type | suitable for | usage | usage application
Electronic Starter,1,1,4,7,1,2,25.0%,100.0%,starter - application | use |||| starter - product_category | category,Electronic - power_source | power_supply | power_type |||| Starter - usage_application | application | usage | suitable_for,application,starter,category | product category | use,power source | power supply | power type | suitable for | usage | usage application
End Shield Cover,0,0,2,11,1,3,0.0%,0.0%,motor cover - product_category | category,End - brand | company | manufacturer | make |||| Cover - type | product_type | device_type | usage_application |||| End Shield - usage_application | application | usage | suitable_for,,,category | product category,application | brand | company | device type | make | manufacturer | product type | suitable for | type | usage | usage application
Exhaust Fan Motor,2,0,4,4,3,1,50.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| fan - application | use,Exhaust Fan Motor - type | motor_type | product_type | device_type,motor type | product type,,application | use,device type | type
Explosion Proof Electric Motor,0,1,4,6,2,2,0.0%,50.0%,motor - motor_type | product_type |||| explosion proof - enclosure | protection,Electric - power_source | power_supply | power_type |||| Explosion Proof - usage_application | application | usage,,explosion proof,enclosure | motor type | product type | protection,application | power source | power supply | power type | usage | usage application
Explosion Proof Motors,0,1,4,7,2,1,0.0%,50.0%,motor - motor_type | product_type |||| explosion proof - enclosure | protection,Explosion Proof - power_source | power_supply | power_type |||| Explosion Proof - usage_application | application | usage | suitable_for,,explosion proof,enclosure | motor type | product type | protection,application | power source | power supply | power type | suitable for | usage | usage application
FEBRICATION BLOWER 1HP SINGLE PHASE,1,1,5,9,2,3,20.0%,50.0%,1 hp - power | horsepower | hp |||| single phase - phase | supply_phase,Single Phase - power_source | power_supply | power_type |||| 1HP - power | wattage | motor_power |||| FEBRICATION - brand | company | manufacturer,power,single phase,horsepower | hp | phase | supply phase,brand | company | manufacturer | motor power | power source | power supply | power type | wattage
FHP Motor,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,FHP - model_number | model_name | model | model_no,,,motor type | product type,model | model name | model no | model number
FL28STH45-0674A - Hybrid Stepper Motor,2,0,2,8,1,2,100.0%,0.0%,stepper motor - motor_type | product_type,FL28STH45-0674A - model_number | model_name | model | model_no |||| Hybrid Stepper Motor - type | motor_type | product_type | device_type,motor type | product type,,,device type | model | model name | model no | model number | type
FL28STH45-0674AF-14 - Hybrid Stepper Motor,2,0,2,8,1,2,100.0%,0.0%,stepper motor - motor_type | product_type,FL28STH45-0674AF-14 - model_number | model_name | model | model_no |||| Hybrid Stepper Motor - type | motor_type | product_type | device_type,motor type | product type,,,device type | model | model name | model no | model number | type
FL28STH51-0674AF-Hybrid Stepper Motor,2,0,2,8,1,2,100.0%,0.0%,stepper motor - motor_type | product_type,FL28STH51-0674AF - model_number | model_name | model | model_no |||| Hybrid - type | motor_type | product_type | device_type,motor type | product type,,,device type | model | model name | model no | model number | type
FL42BLSL01- Regular BLDC Motor,2,0,2,8,2,2,100.0%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type,FL42BLSL01- - model_number | model_name | model | model_no |||| Regular BLDC Motor - model_type | motor_type | product_type | device_type,motor type | product type,,,device type | model | model name | model no | model number | model type
FL42BLSL02- Regular BLDC Motor,2,0,2,8,2,2,100.0%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type,FL42BLSL02- - model_number | model_name | model | model_no |||| Regular BLDC Motor - type | motor_type | product_type | device_type,motor type | product type,,,device type | model | model name | model no | model number | type
